collection,ms_count,url
AM,3070,https://handrit.is/en/manuscript/list/collection/AM?showall.browser=1
AM Dipl Isl,384,https://handrit.is/en/manuscript/list/collection/AMDiplIsl?showall.browser=1
AM Dipl Isl Apogr,8,https://handrit.is/en/manuscript/list/collection/AMDiplIslApogr?showall.browser=1
Acc,84,https://handrit.is/en/manuscript/list/collection/Acc?showall.browser=1
Althingismal,8,https://handrit.is/en/manuscript/list/collection/Althingismal?showall.browser=1
Einkaeign,21,https://handrit.is/en/manuscript/list/collection/Einkaeign?showall.browser=1
GKS,60,https://handrit.is/en/manuscript/list/collection/GKS?showall.browser=1
HolmPerg,4,https://handrit.is/en/manuscript/list/collection/HolmPerg?showall.browser=1
IB,1630,https://handrit.is/en/manuscript/list/collection/IB?showall.browser=1
IBR,291,https://handrit.is/en/manuscript/list/collection/IBR?showall.browser=1
JS,1384,https://handrit.is/en/manuscript/list/collection/JS?showall.browser=1
JS dipl,40,https://handrit.is/en/manuscript/list/collection/JSDipl?showall.browser=1
JS fragm,21,https://handrit.is/en/manuscript/list/collection/JSFragm?showall.browser=1
JSSafn,9,https://handrit.is/en/manuscript/list/collection/JSSafn?showall.browser=1
KBAdd,47,https://handrit.is/en/manuscript/list/collection/KBAdd?showall.browser=1
KG,71,https://handrit.is/en/manuscript/list/collection/KG?showall.browser=1
Kr,4,https://handrit.is/en/manuscript/list/collection/Kr?showall.browser=1
Lbs,4510,https://handrit.is/en/manuscript/list/collection/Lbs?showall.browser=1
Lbs dipl,42,https://handrit.is/en/manuscript/list/collection/LbsDipl?showall.browser=1
Lbs fragm,82,https://handrit.is/en/manuscript/list/collection/LbsFragm?showall.browser=1
NKS,68,https://handrit.is/en/manuscript/list/collection/NKS?showall.browser=1
Rask,123,https://handrit.is/en/manuscript/list/collection/Rask?showall.browser=1
SAM,173,https://handrit.is/en/manuscript/list/collection/SAM?showall.browser=1
StE,5,https://handrit.is/en/manuscript/list/collection/StE?showall.browser=1
Steph,79,https://handrit.is/en/manuscript/list/collection/Steph?showall.browser=1
